,Data,Goldman Sachs Japonia (K),Goldman Sachs Zrównoważony (A),Goldman Sachs Stabilny Globalnej Dywersyfikacji (A),Goldman Sachs Konserwatywny (A),Goldman Sachs Japonia Suma,Goldman Sachs Japonia Krocząca Średnia [2d],Goldman Sachs Japonia Krocząca Średnia [5d],Goldman Sachs Japonia Krocząca Średnia [10d],Goldman Sachs Japonia Krocząca Średnia [30d],Goldman Sachs Japonia Krocząca Średnia [60d],Goldman Sachs Japonia Krocząca Średnia [120d],Goldman Sachs Japonia Krocząca Średnia [360d],Goldman Sachs Japonia Pierwsza pochodna,Goldman Sachs Japonia Druga pochodna,Goldman Sachs Zrównoważony Suma,Goldman Sachs Zrównoważony Krocząca Średnia [2d],Goldman Sachs Zrównoważony Krocząca Średnia [5d],Goldman Sachs Zrównoważony Krocząca Średnia [10d],Goldman Sachs Zrównoważony Krocząca Średnia [30d],Goldman Sachs Zrównoważony Krocząca Średnia [60d],Goldman Sachs Zrównoważony Krocząca Średnia [120d],Goldman Sachs Zrównoważony Krocząca Średnia [360d],Goldman Sachs Zrównoważony Pierwsza pochodna,Goldman Sachs Zrównoważony Druga pochodna,Goldman Sachs Stabilny Globalnej Dywersyfikacji Suma,Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [2d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [5d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [10d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [30d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [60d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [120d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [360d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Pierwsza pochodna,Goldman Sachs Stabilny Globalnej Dywersyfikacji Druga pochodna,Goldman Sachs Konserwatywny Suma,Goldman Sachs Konserwatywny Krocząca Średnia [2d],Goldman Sachs Konserwatywny Krocząca Średnia [5d],Goldman Sachs Konserwatywny Krocząca Średnia [10d],Goldman Sachs Konserwatywny Krocząca Średnia [30d],Goldman Sachs Konserwatywny Krocząca Średnia [60d],Goldman Sachs Konserwatywny Krocząca Średnia [120d],Goldman Sachs Konserwatywny Krocząca Średnia [360d],Goldman Sachs Konserwatywny Pierwsza pochodna,Goldman Sachs Konserwatywny Druga pochodna
31,2014-05-09,143.65,283.24,101.79,251.72,4586.089999999999,143.07,143.848,143.79500000000002,143.51266666666666,,,,1.1599999999999966,0.39999999999997726,9109.760000000002,283.67,283.934,284.524,285.0023333333333,,,,-0.8600000000000136,-1.6800000000000637,3230.3499999999995,101.725,101.60999999999999,101.47900000000001,101.00233333333333,,,,0.13000000000000966,-0.1799999999999926,8037.570000000001,251.715,251.61399999999998,251.525,251.2,,,,0.009999999999990905,-0.14000000000001478
32,2014-05-12,142.64,284.33,102.04,251.77,4728.73,143.14499999999998,143.238,143.669,143.54766666666666,,,,-1.0100000000000193,-2.170000000000016,9394.090000000002,283.78499999999997,283.78599999999994,284.57900000000006,285.064,,,,1.089999999999975,1.9499999999999886,3332.3899999999994,101.915,101.664,101.579,101.06199999999998,,,,0.25,0.11999999999999034,8289.34,251.745,251.66199999999998,251.56600000000003,251.23233333333334,,,,0.05000000000001137,0.040000000000020464
33,2014-05-13,144.8,284.67,102.35,251.84,4873.53,143.72,143.062,143.851,143.61466666666666,,,,2.160000000000025,3.1700000000000443,9678.760000000002,284.5,283.924,284.617,285.134,,,,0.34000000000003183,-0.7499999999999432,3434.7399999999993,102.195,101.838,101.711,101.124,,,,0.30999999999998806,0.05999999999998806,8541.18,251.805,251.71999999999997,251.608,251.268,,,,0.06999999999999318,0.01999999999998181
34,2014-05-14,145.57,285.55,102.45,251.91,5019.099999999999,145.185,143.82999999999998,144.10999999999999,143.6676666666667,,,,0.7699999999999818,-1.3900000000000432,9964.310000000001,285.11,284.37800000000004,284.65,285.20666666666665,,,,0.8799999999999955,0.5399999999999636,3537.189999999999,102.4,102.058,101.81200000000001,101.18466666666667,,,,0.10000000000000853,-0.20999999999997954,8793.09,251.875,251.79000000000002,251.657,251.30433333333335,,,,0.06999999999999318,0.0
35,2014-05-15,145.01,284.8,102.17,251.9,5164.11,145.29,144.334,144.296,143.62566666666666,,,,-0.5600000000000023,-1.329999999999984,10249.11,285.175,284.51800000000003,284.52000000000004,285.20200000000006,,,,-0.75,-1.6299999999999955,3639.359999999999,102.31,102.16,101.881,101.23166666666667,,,,-0.28000000000000114,-0.38000000000000966,9044.99,251.905,251.82800000000003,251.70000000000005,251.33933333333331,,,,-0.009999999999990905,-0.07999999999998408
36,2014-05-16,142.76,284.74,102.21,251.91,5306.87,143.885,144.156,144.002,143.49066666666667,,,,-2.25,-1.6899999999999977,10533.85,284.77,284.81800000000004,284.376,285.169,,,,-0.060000000000002274,0.6899999999999977,3741.5699999999993,102.19,102.244,101.92699999999999,101.275,,,,0.03999999999999204,0.3199999999999932,9296.9,251.905,251.86599999999999,251.74,251.3743333333333,,,,0.009999999999990905,0.01999999999998181
37,2014-05-19,141.23,285.66,102.22,251.97,5448.099999999999,141.995,143.874,143.55599999999998,143.267,,,,-1.5300000000000011,0.7199999999999989,10819.51,285.20000000000005,285.084,284.43500000000006,285.132,,,,0.9200000000000159,0.9800000000000182,3843.789999999999,102.215,102.28,101.97200000000001,101.31566666666666,,,,0.010000000000005116,-0.029999999999986926,9548.869999999999,251.94,251.906,251.78399999999996,251.41199999999998,,,,0.060000000000002274,0.05000000000001137
38,2014-05-20,141.41,286.08,102.02,251.94,5589.509999999999,141.32,143.19599999999997,143.129,143.03333333333333,,,,0.18000000000000682,1.710000000000008,11105.59,285.87,285.366,284.64500000000004,285.138,,,,0.4199999999999591,-0.5000000000000568,3945.809999999999,102.12,102.214,102.026,101.34899999999999,,,,-0.20000000000000284,-0.21000000000000796,9800.81,251.95499999999998,251.926,251.823,251.44700000000003,,,,-0.030000000000001137,-0.09000000000000341
39,2014-05-21,141.2,286.44,102.22,251.96,5730.709999999999,141.305,142.322,143.07599999999996,142.80633333333333,,,,-0.21000000000000796,-0.3900000000000148,11392.03,286.26,285.544,284.961,285.1226666666667,,,,0.36000000000001364,-0.05999999999994543,4048.029999999999,102.12,102.16799999999999,102.113,101.389,,,,0.20000000000000284,0.4000000000000057,10052.769999999999,251.95,251.936,251.863,251.48033333333336,,,,0.020000000000010232,0.05000000000001137
40,2014-05-22,143.64,288.74,102.5,252.01,5874.349999999999,142.42,142.048,143.191,142.73466666666664,,,,2.4399999999999977,2.6500000000000057,11680.77,287.59000000000003,286.332,285.425,285.20700000000005,,,,2.3000000000000114,1.9399999999999977,4150.529999999999,102.36,102.234,102.197,101.44266666666667,,,,0.28000000000000114,0.0799999999999983,10304.779999999999,251.985,251.958,251.89300000000003,251.51233333333332,,,,0.04999999999998295,0.029999999999972715
